City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
202,Makakilo City,US,84.56,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
203,Sao Miguel Do Araguaia,BR,76.1,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
207,Mogadishu,SO,75.33,scattered clouds,2.0371,45.3438,Hotel Juba
208,Kudahuvadhoo,MV,80.51,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
212,Jining,CN,77.76,scattered clouds,35.405,116.5814,Yunhe Star Hotel
217,Luoyang,CN,78.91,clear sky,34.6836,112.4536,易家国际青年旅舍
221,Singaraja,ID,78.46,broken clouds,-8.112,115.0882,Puri Bagus Lovina Resort
222,Custoias,PT,75.15,clear sky,41.1053,-7.321,Casa Do Adro / Solar Corte Real - José Carlos Pereira Corte Real
224,Mapiripan,CO,75.67,scattered clouds,2.8892,-72.1256,Monserrate
234,Carmen,MX,75.24,broken clouds,18.6333,-91.8333,Hotel Lossandes
235,Wattegama,LK,77.41,overcast clouds,6.7989,81.4808,
238,Kavieng,PG,81.77,light rain,-2.5744,150.7967,
239,Madaoua,NE,75.88,overcast clouds,14.073,5.96,
243,Srandakan,ID,75.49,broken clouds,-7.9386,110.2506,Puri Brata
255,Nioro,GM,78.06,overcast clouds,13.35,-15.75,
257,Fort Frances,CA,77.16,clear sky,48.5999,-93.4003,LA PLACE RENDEZ-VOUS
268,Meulaboh,ID,76.91,overcast clouds,4.1363,96.1285,Kost Pria
269,Harper,LR,76.42,overcast clouds,4.375,-7.7169,Screensaver
272,Yate,GB,75.96,clear sky,51.5407,-2.4184,
277,Daytona Beach,US,83.01,overcast clouds,29.2108,-81.0228,"Holiday Inn Resort Daytona Beach Oceanfront, an IHG Hotel"
279,Kyaukse,MM,77.95,moderate rain,21.6,96.1333,Shwe Thit Sar Guesthouse
280,Oussouye,SN,80.69,overcast clouds,12.485,-16.5469,Auberge du Routard
282,Wagar,SD,79.27,scattered clouds,16.1525,36.2032,
283,Pervomayskoye,RU,79.66,clear sky,43.919,46.7102,
284,Lewistown,US,84.34,few clouds,40.5992,-77.5714,
286,Biak,ID,76.96,overcast clouds,-0.9131,122.8766,Penginapan Kim
288,Honiara,SB,79.97,overcast clouds,-9.4333,159.95,
290,Zhoucheng,CN,79.83,broken clouds,35.9122,116.3117,Yingbin Restaurant
294,Manta,EC,78.58,scattered clouds,-0.95,-80.7333,Balandra Hotel
296,Santarem,BR,82.53,clear sky,-2.4431,-54.7083,Hotel Imperador
305,Wanning,CN,79.47,overcast clouds,18.8003,110.3967,Paradise Hotel
307,Agua Branca,BR,79.12,clear sky,-5.8922,-42.6361,Água branca do Piauí pi
309,Ramnagar,IN,77.11,clear sky,29.4,79.1167,Leisure Vacation Myrica Hotel
310,Kieta,PG,82.63,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
314,San Fernando,PH,78.53,broken clouds,15.0286,120.6898,Maharlika Hostel
316,Tateyama,JP,83.1,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
318,Orthez,FR,84.74,broken clouds,43.4884,-0.7724,Hotel Kyriad Orthez
319,Pochutla,MX,76.82,overcast clouds,15.7432,-96.4661,
325,Sete,FR,77.95,clear sky,43.4018,3.6966,Hotel de Paris Sète
326,Yanam,IN,77.47,overcast clouds,16.7333,82.2167,The Regency Hotel
327,Broome,US,77.54,scattered clouds,42.2506,-75.833,Chenango Valley State Park
328,Padang,ID,78.46,broken clouds,-0.9492,100.3543,
333,Bobcaygeon,CA,75.88,clear sky,44.5462,-78.542,The Bobcaygeon Inn And The Royal Moose Grill & Waterfront Patio
334,Merauke,ID,78.1,few clouds,-8.4667,140.3333,
335,Seminole,US,82.62,few clouds,28.7086,-81.2081,The Oviedo Lodge Motel
336,Balkanabat,TM,84.78,clear sky,39.5108,54.3671,Nebitchi Hotel
345,Bonthe,SL,76.12,light rain,7.5264,-12.505,Bonthe Holiday Village
346,Kirakira,SB,81.59,moderate rain,-10.4544,161.9205,
347,Marsa Matruh,EG,77.2,few clouds,31.3525,27.2453,Beau Site
349,Pacifica,US,82.22,few clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
350,Katsuura,JP,82.63,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
351,Abonnema,NG,75.49,light rain,4.7084,6.7931,Corper's Lodge Obonoma
356,Misratah,LY,81.0,clear sky,32.3754,15.0925,Almasa Hotel
361,Sao Gabriel Da Cachoeira,BR,76.78,broken clouds,-0.1303,-67.0892,
362,Dwarka,IN,81.82,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
366,Tripoli,LY,80.76,clear sky,32.8752,13.1875,
371,Namatanai,PG,82.04,light rain,-3.6667,152.4333,
376,Formosa Do Rio Preto,BR,78.1,clear sky,-11.0483,-45.1931,Porto Center Hotel
377,La Romana,DO,84.56,broken clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
379,Progreso,MX,82.11,broken clouds,21.2833,-89.6667,
381,San Cristobal,VE,82.58,overcast clouds,7.7669,-72.225,
384,Faanui,PF,78.4,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
386,Gilbues,BR,79.41,clear sky,-9.8317,-45.3439,Hotel Camapuã
388,Hirara,JP,82.26,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
389,Qui Nhon,VN,78.46,overcast clouds,13.7667,109.2333,Seagull Hotel
