City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
97,Muros,ES,2022-08-11 22:29:21,scattered clouds,42.7762,-9.0603,66.09,90,35,0.85
98,Pevek,RU,2022-08-11 22:20:06,overcast clouds,69.7008,170.3133,36.41,91,86,5.28
99,Saint George,US,2022-08-11 22:24:56,clear sky,37.1041,-113.5841,96.64,33,0,13.0
100,Bambous Virieux,MU,2022-08-11 22:20:04,light intensity shower rain,-20.3428,57.7575,69.22,94,75,18.41
101,Castro,BR,2022-08-11 22:25:35,clear sky,-24.7911,-50.0119,47.73,75,0,4.94
102,Gat,IL,2022-08-11 22:29:21,clear sky,31.61,34.7642,79.81,79,0,5.17
103,Leo,BF,2022-08-11 22:29:22,overcast clouds,11.1,-2.1,76.73,82,100,6.13
104,Kovur,IN,2022-08-11 22:29:22,overcast clouds,14.4833,79.9833,84.34,55,95,17.81
105,Kemi,FI,2022-08-11 22:29:23,clear sky,65.8596,24.8228,58.77,58,0,14.97
106,Isangel,VU,2022-08-11 22:29:23,broken clouds,-19.55,169.2667,73.51,68,75,4.61
107,Broken Hill,AU,2022-08-11 22:29:24,few clouds,-31.95,141.4333,46.38,51,15,12.95
108,Sechura,PE,2022-08-11 22:29:24,broken clouds,-5.5569,-80.8222,72.97,59,70,16.26
109,Yulara,AU,2022-08-11 22:29:24,clear sky,-25.2406,130.9889,44.28,54,0,7.74
110,Blythe,US,2022-08-11 22:29:25,clear sky,33.6103,-114.5964,106.03,29,0,2.06
111,Bud,US,2022-08-11 22:29:25,broken clouds,39.447,-86.1758,82.38,85,59,9.82
112,Camana,PE,2022-08-11 22:29:26,broken clouds,-16.6228,-72.7111,62.17,77,53,5.61
113,Bose,IT,2022-08-11 22:29:26,broken clouds,45.4612,8.0137,72.99,71,63,4.68
114,Vidim,RU,2022-08-11 22:29:26,few clouds,56.4088,103.1106,50.47,97,20,3.65
115,Ribeira Grande,PT,2022-08-11 22:29:27,broken clouds,38.5167,-28.7,74.64,78,81,9.24
116,Clyde River,CA,2022-08-11 22:29:27,broken clouds,70.4692,-68.5914,43.03,87,75,8.05
117,Cherskiy,RU,2022-08-11 22:29:28,overcast clouds,68.75,161.3,55.83,65,97,10.45
118,Guerrero Negro,MX,2022-08-11 22:29:28,clear sky,27.9769,-114.0611,82.45,48,1,16.4
119,La Ronge,CA,2022-08-11 22:29:28,scattered clouds,55.1001,-105.2842,86.22,42,40,10.36
120,Bredasdorp,ZA,2022-08-11 22:19:58,overcast clouds,-34.5322,20.0403,54.36,81,100,6.02
121,Hilo,US,2022-08-11 22:28:06,broken clouds,19.7297,-155.09,92.28,76,75,8.05
122,Pokrovsk,UA,2022-08-11 22:29:29,overcast clouds,48.282,37.1758,77.54,43,100,12.84
123,Fujin,CN,2022-08-11 22:29:29,broken clouds,47.26,132.0322,60.48,90,77,5.79
124,Hermanus,ZA,2022-08-11 22:26:26,overcast clouds,-34.4187,19.2345,58.8,72,100,13.89
125,Vila Velha,BR,2022-08-11 22:29:30,clear sky,-20.3297,-40.2925,73.35,78,0,10.36
126,El Alto,PE,2022-08-11 22:29:30,scattered clouds,-4.2714,-81.2147,67.66,75,48,16.35
127,Linxia,CN,2022-08-11 22:29:31,overcast clouds,35.6003,103.2064,68.4,84,100,2.24
128,Mount Pleasant,US,2022-08-11 22:29:31,haze,32.7941,-79.8626,87.98,77,0,9.22
129,Vila Franca Do Campo,PT,2022-08-11 22:28:16,scattered clouds,37.7167,-25.4333,73.81,86,49,7.14
130,Ancud,CL,2022-08-11 22:30:31,moderate rain,-41.8697,-73.8203,48.72,93,100,14.94
131,Virginia Beach,US,2022-08-11 22:28:34,thunderstorm,36.8529,-75.978,80.62,92,75,5.75
132,Pilar,BR,2022-08-11 22:30:32,scattered clouds,-9.5972,-35.9567,75.13,93,28,5.14
133,Sao Borja,BR,2022-08-11 22:30:32,scattered clouds,-28.6606,-56.0044,53.94,83,40,6.46
134,Oranjemund,NA,2022-08-11 22:30:33,broken clouds,-28.55,16.4333,53.92,94,75,1.16
135,Pacific Grove,US,2022-08-11 22:30:04,clear sky,36.6177,-121.9166,85.55,71,0,12.66
136,Kaitangata,NZ,2022-08-11 22:30:33,few clouds,-46.2817,169.8464,41.74,68,20,6.69
137,Narsaq,GL,2022-08-11 22:30:34,few clouds,60.9167,-46.05,55.62,84,12,3.15
138,Mosquera,CO,2022-08-11 22:30:34,few clouds,4.7059,-74.2302,62.69,51,20,8.05
139,Burnie,AU,2022-08-11 22:30:34,light rain,-41.0667,145.9167,47.95,91,95,6.64
140,Namtsy,RU,2022-08-11 22:30:35,light rain,62.7161,129.6658,62.44,92,94,2.95
141,Hithadhoo,MV,2022-08-11 22:26:39,clear sky,-0.6,73.0833,81.55,74,5,6.91
142,Jumla,NP,2022-08-11 22:30:35,scattered clouds,29.2747,82.1838,58.96,87,31,5.08
143,Los Llanos De Aridane,ES,2022-08-11 22:30:36,clear sky,28.6585,-17.9182,69.55,91,0,13.8
144,Altay,CN,2022-08-11 22:30:36,clear sky,47.8667,88.1167,64.53,41,5,6.51
145,Soledade,BR,2022-08-11 22:28:25,clear sky,-28.8183,-52.5103,47.95,90,1,4.79
146,Grajau,BR,2022-08-11 22:30:37,few clouds,-5.8194,-46.1386,82.09,39,19,4.56
147,Manicore,BR,2022-08-11 22:30:37,few clouds,-5.8092,-61.3003,84.15,61,20,3.44
148,Moose Factory,CA,2022-08-11 22:30:37,clear sky,51.2585,-80.6094,66.18,37,0,16.11
149,Te Anau,NZ,2022-08-11 22:30:38,few clouds,-45.4167,167.7167,39.96,76,21,0.96
150,Cabo San Lucas,MX,2022-08-11 22:28:42,few clouds,22.8909,-109.9124,92.5,61,20,8.05
151,Arlit,NE,2022-08-11 22:30:38,clear sky,18.7369,7.3853,98.51,13,3,8.16
152,Provideniya,RU,2022-08-11 22:30:39,overcast clouds,64.3833,-173.3,48.31,100,100,8.95
153,Aswan,EG,2022-08-11 22:30:39,scattered clouds,24.0934,32.907,91.26,22,44,12.64
